Aggregation Type,Description,Dimensions,Metric,Metric Display Name,Unit,resource
Total,Total number of low-priority cores in the batch account,No Dimensions,LowPriorityCoreCount,LowPriority Core Count,Count,Microsoft.Batch/batchAccounts
Total,Total number of low-priority nodes in the batch account,No Dimensions,TotalLowPriorityNodeCount,Low-Priority Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of nodes being created,No Dimensions,CreatingNodeCount,Creating Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of nodes starting,No Dimensions,StartingNodeCount,Starting Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of nodes waiting for the Start Task to complete,No Dimensions,WaitingForStartTaskNodeCount,Waiting For Start Task Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of nodes where the Start Task has failed,No Dimensions,StartTaskFailedNodeCount,Start Task Failed Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of idle nodes,No Dimensions,IdleNodeCount,Idle Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of offline nodes,No Dimensions,OfflineNodeCount,Offline Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of rebooting nodes,No Dimensions,RebootingNodeCount,Rebooting Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of reimaging nodes,No Dimensions,ReimagingNodeCount,Reimaging Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of running nodes,No Dimensions,RunningNodeCount,Running Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of nodes leaving the Pool,No Dimensions,LeavingPoolNodeCount,Leaving Pool Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of unusable nodes,No Dimensions,UnusableNodeCount,Unusable Node Count,Count,Microsoft.Batch/batchAccounts
Total,Number of preempted nodes,No Dimensions,PreemptedNodeCount,Preempted Node Count,Count,Microsoft.Batch/batchAccounts
Total,Total number of tasks that have started,No Dimensions,TaskStartEvent,Task Start Events,Count,Microsoft.Batch/batchAccounts
Total,Total number of tasks that have completed,No Dimensions,TaskCompleteEvent,Task Complete Events,Count,Microsoft.Batch/batchAccounts
Total,Total number of tasks that have completed in a failed state,No Dimensions,TaskFailEvent,Task Fail Events,Count,Microsoft.Batch/batchAccounts
Total,Total number of pools that have been created,No Dimensions,PoolCreateEvent,Pool Create Events,Count,Microsoft.Batch/batchAccounts
Total,Total number of pool resizes that have started,No Dimensions,PoolResizeStartEvent,Pool Resize Start Events,Count,Microsoft.Batch/batchAccounts
Total,Total number of pool resizes that have completed,No Dimensions,PoolResizeCompleteEvent,Pool Resize Complete Events,Count,Microsoft.Batch/batchAccounts
Total,Total number of pool deletes that have started,No Dimensions,PoolDeleteStartEvent,Pool Delete Start Events,Count,Microsoft.Batch/batchAccounts
Total,Total number of pool deletes that have completed,No Dimensions,PoolDeleteCompleteEvent,Pool Delete Complete Events,Count,Microsoft.Batch/batchAccounts
Maximum,,No Dimensions,connectedclients,Connected Clients,Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed,Total Operations,Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits,Cache Hits,Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses,Cache Misses,Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands,Gets,Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands,Sets,Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond,Operations Per Second,Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys,Evicted Keys,Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys,Total Keys,Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys,Expired Keys,Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory,Used Memory,Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss,Used Memory RSS,Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad,Server Load,Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite,Cache Write,BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead,Cache Read,BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime,CPU,Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients0,Connected Clients (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed0,Total Operations (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits0,Cache Hits (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses0,Cache Misses (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands0,Gets (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands0,Sets (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond0,Operations Per Second (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys0,Evicted Keys (Shard 0),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys0,Total Keys (Shard 0),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys0,Expired Keys (Shard 0),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory0,Used Memory (Shard 0),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss0,Used Memory RSS (Shard 0),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad0,Server Load (Shard 0),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite0,Cache Write (Shard 0),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead0,Cache Read (Shard 0),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime0,CPU (Shard 0),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients1,Connected Clients (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed1,Total Operations (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits1,Cache Hits (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses1,Cache Misses (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands1,Gets (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands1,Sets (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond1,Operations Per Second (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys1,Evicted Keys (Shard 1),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys1,Total Keys (Shard 1),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys1,Expired Keys (Shard 1),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory1,Used Memory (Shard 1),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss1,Used Memory RSS (Shard 1),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad1,Server Load (Shard 1),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite1,Cache Write (Shard 1),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead1,Cache Read (Shard 1),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime1,CPU (Shard 1),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients2,Connected Clients (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed2,Total Operations (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits2,Cache Hits (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses2,Cache Misses (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands2,Gets (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands2,Sets (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond2,Operations Per Second (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys2,Evicted Keys (Shard 2),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys2,Total Keys (Shard 2),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys2,Expired Keys (Shard 2),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory2,Used Memory (Shard 2),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss2,Used Memory RSS (Shard 2),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad2,Server Load (Shard 2),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite2,Cache Write (Shard 2),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead2,Cache Read (Shard 2),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime2,CPU (Shard 2),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients3,Connected Clients (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed3,Total Operations (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits3,Cache Hits (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses3,Cache Misses (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands3,Gets (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands3,Sets (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond3,Operations Per Second (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys3,Evicted Keys (Shard 3),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys3,Total Keys (Shard 3),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys3,Expired Keys (Shard 3),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory3,Used Memory (Shard 3),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss3,Used Memory RSS (Shard 3),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad3,Server Load (Shard 3),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite3,Cache Write (Shard 3),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead3,Cache Read (Shard 3),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime3,CPU (Shard 3),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients4,Connected Clients (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed4,Total Operations (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits4,Cache Hits (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses4,Cache Misses (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands4,Gets (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands4,Sets (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond4,Operations Per Second (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys4,Evicted Keys (Shard 4),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys4,Total Keys (Shard 4),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys4,Expired Keys (Shard 4),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory4,Used Memory (Shard 4),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss4,Used Memory RSS (Shard 4),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad4,Server Load (Shard 4),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite4,Cache Write (Shard 4),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead4,Cache Read (Shard 4),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime4,CPU (Shard 4),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients5,Connected Clients (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed5,Total Operations (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits5,Cache Hits (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses5,Cache Misses (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands5,Gets (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands5,Sets (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond5,Operations Per Second (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys5,Evicted Keys (Shard 5),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys5,Total Keys (Shard 5),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys5,Expired Keys (Shard 5),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory5,Used Memory (Shard 5),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss5,Used Memory RSS (Shard 5),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad5,Server Load (Shard 5),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite5,Cache Write (Shard 5),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead5,Cache Read (Shard 5),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime5,CPU (Shard 5),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients6,Connected Clients (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed6,Total Operations (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits6,Cache Hits (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses6,Cache Misses (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands6,Gets (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands6,Sets (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond6,Operations Per Second (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys6,Evicted Keys (Shard 6),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys6,Total Keys (Shard 6),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys6,Expired Keys (Shard 6),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory6,Used Memory (Shard 6),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss6,Used Memory RSS (Shard 6),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad6,Server Load (Shard 6),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite6,Cache Write (Shard 6),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead6,Cache Read (Shard 6),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime6,CPU (Shard 6),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients7,Connected Clients (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed7,Total Operations (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits7,Cache Hits (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses7,Cache Misses (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands7,Gets (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands7,Sets (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond7,Operations Per Second (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys7,Evicted Keys (Shard 7),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys7,Total Keys (Shard 7),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys7,Expired Keys (Shard 7),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory7,Used Memory (Shard 7),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss7,Used Memory RSS (Shard 7),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad7,Server Load (Shard 7),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite7,Cache Write (Shard 7),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead7,Cache Read (Shard 7),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime7,CPU (Shard 7),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients8,Connected Clients (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed8,Total Operations (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits8,Cache Hits (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses8,Cache Misses (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands8,Gets (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands8,Sets (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond8,Operations Per Second (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys8,Evicted Keys (Shard 8),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys8,Total Keys (Shard 8),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys8,Expired Keys (Shard 8),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory8,Used Memory (Shard 8),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss8,Used Memory RSS (Shard 8),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad8,Server Load (Shard 8),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite8,Cache Write (Shard 8),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead8,Cache Read (Shard 8),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime8,CPU (Shard 8),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,connectedclients9,Connected Clients (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,totalcommandsprocessed9,Total Operations (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachehits9,Cache Hits (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,cachemisses9,Cache Misses (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,getcommands9,Gets (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,setcommands9,Sets (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,operationsPerSecond9,Operations Per Second (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,evictedkeys9,Evicted Keys (Shard 9),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,totalkeys9,Total Keys (Shard 9),Count,Microsoft.Cache/redis
Total,,No Dimensions,expiredkeys9,Expired Keys (Shard 9),Count,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemory9,Used Memory (Shard 9),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,usedmemoryRss9,Used Memory RSS (Shard 9),Bytes,Microsoft.Cache/redis
Maximum,,No Dimensions,serverLoad9,Server Load (Shard 9),Percent,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheWrite9,Cache Write (Shard 9),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,cacheRead9,Cache Read (Shard 9),BytesPerSecond,Microsoft.Cache/redis
Maximum,,No Dimensions,percentProcessorTime9,CPU (Shard 9),Percent,Microsoft.Cache/redis
Average,The percentage of allocated compute units that are currently in use by the Virtual Machine(s).,No Dimensions,Percentage CPU,Percentage CPU,Percent,Microsoft.ClassicCompute/virtualMachines
